term,estimate,std.error,statistic,p.value,nct_id,model_n
age_std,-0.009,0.37,-0.0233953304,0.9813349298,NCT00861757,5
(Intercept),-2.736,0.332,-8.2405413542,1.7143319800106901e-16,NCT00861757,3
age_std,-0.218,0.467,-0.4667777396,0.6406589037,NCT00861757,3
I(age_std^2),-0.148,0.594,-0.2494410519,0.8030196336,NCT00861757,3
como_cnt,0.376,0.168,2.2445621686,0.0247962537,NCT00861757,3
(Intercept),-2.747,0.409,-6.7174148169,1.8497683286748325e-11,NCT00861757,4
age_std,-0.221,0.473,-0.4685753085,0.6393732298,NCT00861757,4
I(age_std^2),-0.144,0.601,-0.2395680628,0.810665126,NCT00861757,4
como_cnt,0.395,0.441,0.8968776238,0.3697842214,NCT00861757,4
I(como_cnt^2),-0.005,0.101,-0.0464408411,0.9629588852,NCT00861757,4
(Intercept),-2.876,0.348,-8.2591409939,1.4672453321143292e-16,NCT00970632,1
age_std,0.5,0.425,1.176898265,0.2392361147,NCT00970632,1
como_cnt,0.016,0.227,0.0684955066,0.9453911969,NCT00970632,1
(Intercept),-2.875,0.383,-7.503808445,6.198987333308329e-14,NCT00970632,2
age_std,0.5,0.427,1.1709910925,0.2416023576,NCT00970632,2
como_cnt,0.011,0.589,0.0193806644,0.9845374351,NCT00970632,2
I(como_cnt^2),0.001,0.183,0.0076541697,0.9938929158,NCT00970632,2
(Intercept),-2.862,0.272,-10.5082702722,7.913156943508362e-26,NCT00970632,5
age_std,0.506,0.415,1.2207969956,0.2221628916,NCT00970632,5
(Intercept),-2.916,0.368,-7.9304731448,2.1831251767119103e-15,NCT00970632,3
age_std,0.383,0.534,0.717283855,0.4731989671,NCT00970632,3
I(age_std^2),0.176,0.517,0.3412546163,0.7329119104,NCT00970632,3
como_cnt,0.017,0.228,0.0739882876,0.9410197049,NCT00970632,3
(Intercept),-2.913,0.4,-7.291056407,3.075339658161819e-13,NCT00970632,4
age_std,0.383,0.535,0.7166979586,0.4735604858,NCT00970632,4
I(age_std^2),0.177,0.517,0.3415738613,0.732671611,NCT00970632,4
como_cnt,0.008,0.589,0.0138212986,0.9889725504,NCT00970632,4
I(como_cnt^2),0.003,0.184,0.0160247276,0.9872146644,NCT00970632,4
(Intercept),-1.422,0.403,-3.5302457423,4.151738497504728e-4,NCT01064687,1
age_std,0.207,0.247,0.8414962799,0.4000699682,NCT01064687,1
sex,0.629,0.344,1.828629475,0.0674551341,NCT01064687,1
como_cnt,-0.276,0.141,-1.9483624194,0.0513716132,NCT01064687,1
(Intercept),-1.202,0.459,-2.6219124841,0.0087437881,NCT01064687,2
age_std,0.215,0.248,0.8679740698,0.385408528,NCT01064687,2
sex,0.642,0.346,1.858788412,0.0630571356,NCT01064687,2
como_cnt,-0.612,0.378,-1.6208735753,0.1050447551,NCT01064687,2
I(como_cnt^2),0.081,0.083,0.9739351932,0.3300887182,NCT01064687,2
(Intercept),-1.996,0.294,-6.7800393215,1.2014317867471278e-11,NCT01064687,5
age_std,0.113,0.24,0.4702877983,0.6381494138,NCT01064687,5
sex,0.705,0.34,2.0716314688,0.0382998229,NCT01064687,5
(Intercept),-1.532,0.416,-3.6862000301,2.2762746092011847e-4,NCT01064687,3
age_std,0.405,0.286,1.4168899834,0.1565150955,NCT01064687,3
I(age_std^2),0.314,0.253,1.2368154555,0.2161556029,NCT01064687,3
sex,0.625,0.346,1.8090575716,0.0704420597,NCT01064687,3
como_cnt,-0.275,0.142,-1.9339648991,0.0531174437,NCT01064687,3
(Intercept),-1.309,0.469,-2.7937237089,0.0052104975,NCT01064687,4
age_std,0.419,0.288,1.453176334,0.1461748012,NCT01064687,4
I(age_std^2),0.319,0.254,1.2538472651,0.2098975258,NCT01064687,4
sex,0.64,0.347,1.8422039235,0.0654453268,NCT01064687,4
como_cnt,-0.62,0.378,-1.6372980956,0.1015681987,NCT01064687,4
I(como_cnt^2),0.083,0.083,0.9963618776,0.3190743488,NCT01064687,4
(Intercept),-1.911,0.29,-6.5873469371,4.477551863900937e-11,NCT01075282,1
age_std,-0.091,0.221,-0.4095183836,0.6821592786,NCT01075282,1
sex,-0.229,0.278,-0.8228338421,0.4106024888,NCT01075282,1
como_cnt,-0.076,0.135,-0.561324585,0.5745762847,NCT01075282,1
(Intercept),-1.975,0.332,-5.950469933,2.673736881724023e-9,NCT01075282,2
age_std,-0.1,0.223,-0.4502892985,0.6525018544,NCT01075282,2
sex,-0.236,0.278,-0.8473697969,0.3967890338,NCT01075282,2
como_cnt,0.048,0.332,0.1450443193,0.88467588,NCT01075282,2
I(como_cnt^2),-0.035,0.085,-0.4050429669,0.685445928,NCT01075282,2
(Intercept),-2.031,0.201,-10.1113223241,4.921546660583344e-24,NCT01075282,5
age_std,-0.123,0.214,-0.5757013167,0.5648170852,NCT01075282,5
sex,-0.204,0.275,-0.7418914151,0.4581531277,NCT01075282,5
(Intercept),-2.104,0.309,-6.8007851642,1.0405049019884699e-11,NCT01075282,3
age_std,0.21,0.245,0.8578039521,0.3910007271,NCT01075282,3
I(age_std^2),0.437,0.207,2.1132688784,0.0345777609,NCT01075282,3
sex,-0.205,0.279,-0.7337613013,0.4630942299,NCT01075282,3
como_cnt,-0.053,0.137,-0.3892431264,0.6970963037,NCT01075282,3
(Intercept),-2.201,0.358,-6.1547270917,7.520688836076622e-10,NCT01075282,4
age_std,0.202,0.245,0.825119391,0.4093038118,NCT01075282,4
I(age_std^2),0.449,0.208,2.1546403691,0.0311899874,NCT01075282,4
sex,-0.214,0.279,-0.7663987652,0.4434390673,NCT01075282,4
como_cnt,0.124,0.342,0.3612577204,0.7179067967,NCT01075282,4
I(como_cnt^2),-0.049,0.089,-0.5551023384,0.5788246634,NCT01075282,4
(Intercept),-1.833,0.232,-7.8963795417,2.871214819832398e-15,NCT01126580,1
age_std,-0.173,0.166,-1.0429474536,0.29697263,NCT01126580,1
sex,0.017,0.225,0.0735266239,0.9413870586,NCT01126580,1
como_cnt,0.226,0.088,2.5642892045,0.0103387358,NCT01126580,1
(Intercept),-1.833,0.27,-6.7931282864,1.0972772295171281e-11,NCT01126580,2
age_std,-0.173,0.167,-1.035860066,0.3002674302,NCT01126580,2
sex,0.017,0.225,0.0735270456,0.941386723,NCT01126580,2
como_cnt,0.226,0.216,1.0425819659,0.2971419452,NCT01126580,2
I(como_cnt^2),0,0.043,8.553969684540473e-4,0.999317492,NCT01126580,2
(Intercept),-1.42,0.157,-9.0367578403,1.6138738170553606e-19,NCT01126580,5
age_std,-0.066,0.16,-0.4134973638,0.6792422534,NCT01126580,5
sex,-0.069,0.221,-0.312572743,0.7546052891,NCT01126580,5
(Intercept),-1.987,0.244,-8.1268565706,4.405661686106557e-16,NCT01126580,3
age_std,0.136,0.196,0.6908997786,0.4896285253,NCT01126580,3
I(age_std^2),0.401,0.159,2.5258990048,0.0115402652,NCT01126580,3
sex,0.062,0.228,0.27204696,0.7855859116,NCT01126580,3
como_cnt,0.217,0.089,2.4344636708,0.0149138769,NCT01126580,3
(Intercept),-1.966,0.279,-7.0552958219,1.7223391193035652e-12,NCT01126580,4
age_std,0.14,0.199,0.7052751751,0.4806390063,NCT01126580,4
I(age_std^2),0.403,0.159,2.5305750392,0.0113875724,NCT01126580,4
sex,0.062,0.228,0.27321847,0.7846852829,NCT01126580,4
como_cnt,0.187,0.218,0.856856152,0.3915243883,NCT01126580,4
I(como_cnt^2),0.007,0.044,0.1508697169,0.8800784894,NCT01126580,4
(Intercept),-1.56,0.229,-6.8148509019,9.436157888253545e-12,NCT01191268,1
age_std,-0.277,0.169,-1.6342915556,0.1021976459,NCT01191268,1
sex,-0.07,0.209,-0.3348583381,0.7377319508,NCT01191268,1
como_cnt,0.077,0.081,0.9511821646,0.3415119107,NCT01191268,1
(Intercept),-1.355,0.281,-4.8225958093,1.417019275639349e-6,NCT01191268,2
age_std,-0.251,0.171,-1.466779766,0.1424359757,NCT01191268,2
sex,-0.08,0.21,-0.379814356,0.704083225,NCT01191268,2
como_cnt,-0.145,0.201,-0.7221757925,0.4701864045,NCT01191268,2
I(como_cnt^2),0.041,0.034,1.2049361733,0.2282279428,NCT01191268,2
(Intercept),-1.402,0.154,-9.0849729448,1.0372447619249265e-19,NCT01191268,5
age_std,-0.248,0.167,-1.4901279878,0.1361905864,NCT01191268,5
sex,-0.092,0.208,-0.4436120839,0.6573230677,NCT01191268,5
(Intercept),-1.601,0.238,-6.7415455591,1.567105796963642e-11,NCT01191268,3
age_std,-0.223,0.183,-1.2177908104,0.2233034774,NCT01191268,3
I(age_std^2),0.133,0.192,0.6927439117,0.4884702765,NCT01191268,3
sex,-0.083,0.21,-0.3949428575,0.6928850599,NCT01191268,3
como_cnt,0.077,0.081,0.9529079908,0.340636691,NCT01191268,3
(Intercept),-1.392,0.285,-4.8799513691,1.0611200268760626e-6,NCT01191268,4
age_std,-0.189,0.185,-1.0202128602,0.3076275198,NCT01191268,4
I(age_std^2),0.151,0.192,0.7863235409,0.4316779644,NCT01191268,4
sex,-0.094,0.211,-0.4472867751,0.6546680144,NCT01191268,4
como_cnt,-0.156,0.201,-0.7726921829,0.439704574,NCT01191268,4
I(como_cnt^2),0.043,0.034,1.2605788337,0.2074606286,NCT01191268,4
(Intercept),-2.759,0.341,-8.0964060158,5.660667323591872e-16,NCT01624259,1
age_std,-0.204,0.255,-0.8008406421,0.4232239071,NCT01624259,1
sex,0.094,0.328,0.287398218,0.7738074255,NCT01624259,1
como_cnt,0.012,0.144,0.0824021993,0.9343268872,NCT01624259,1
(Intercept),-2.691,0.379,-7.1007299191,1.2409968943526864e-12,NCT01624259,2
age_std,-0.196,0.256,-0.7664428295,0.4434128569,NCT01624259,2
sex,0.097,0.328,0.2957205557,0.7674434977,NCT01624259,2
como_cnt,-0.1,0.318,-0.3136532277,0.7537844281,NCT01624259,2
I(como_cnt^2),0.027,0.068,0.3986939129,0.6901187536,NCT01624259,2
(Intercept),-2.74,0.246,-11.1481735476,7.309124405886303e-29,NCT01624259,5
age_std,-0.2,0.249,-0.8018339595,0.4226490117,NCT01624259,5
sex,0.093,0.328,0.2828989265,0.7772543175,NCT01624259,5
(Intercept),-2.994,0.359,-8.3366318975,7.64365450207875e-17,NCT01624259,3
age_std,0.376,0.299,1.2574112437,0.2086047599,NCT01624259,3
I(age_std^2),0.575,0.206,2.7967198251,0.0051624279,NCT01624259,3
sex,0.172,0.334,0.5148780567,0.6066382355,NCT01624259,3
como_cnt,0.022,0.145,0.1537057772,0.8778417294,NCT01624259,3
(Intercept),-2.934,0.396,-7.4163066482,1.2043148389770777e-13,NCT01624259,4
age_std,0.381,0.299,1.2739020554,0.2026981299,NCT01624259,4
I(age_std^2),0.573,0.205,2.794205684,0.0052027375,NCT01624259,4
sex,0.173,0.334,0.5189371631,0.6038045611,NCT01624259,4
como_cnt,-0.078,0.322,-0.2405226361,0.8099251172,NCT01624259,4
I(como_cnt^2),0.025,0.07,0.3512104937,0.7254304382,NCT01624259,4
(Intercept),-3.311,0.504,-6.563357918,5.260936312823878e-11,NCT01769378,1
age_std,-0.122,0.359,-0.3391575911,0.7344910152,NCT01769378,1
sex,1.301,0.464,2.8043265466,0.0050421809,NCT01769378,1
como_cnt,0.13,0.226,0.5740768786,0.5659157788,NCT01769378,1
(Intercept),-3.073,0.547,-5.6177186279,1.9349526001306915e-8,NCT01769378,2
age_std,-0.052,0.365,-0.1437968008,0.8856609292,NCT01769378,2
sex,1.274,0.466,2.732005998,0.0062949995,NCT01769378,2
como_cnt,-0.314,0.498,-0.6301160647,0.5286186498,NCT01769378,2
I(como_cnt^2),0.121,0.119,1.0138429883,0.310657679,NCT01769378,2
(Intercept),-3.135,0.39,-8.0382428998,9.113583803527738e-16,NCT01769378,5
age_std,-0.035,0.326,-0.1073338364,0.914524142,NCT01769378,5
sex,1.281,0.462,2.771504052,0.0055797978,NCT01769378,5
(Intercept),-3.304,0.515,-6.4103653916,1.4517128104276093e-10,NCT01769378,3
age_std,-0.135,0.416,-0.3254403649,0.7448478099,NCT01769378,3
I(age_std^2),-0.026,0.391,-0.0659920132,0.9473841841,NCT01769378,3
sex,1.302,0.464,2.8048752908,0.0050336051,NCT01769378,3
como_cnt,0.131,0.227,0.5782182747,0.5631167623,NCT01769378,3
(Intercept),-3.047,0.562,-5.4261852847,5.757119657745697e-8,NCT01769378,4
age_std,-0.091,0.419,-0.2161821167,0.8288457928,NCT01769378,4
I(age_std^2),-0.075,0.393,-0.1921300998,0.8476402978,NCT01769378,4
sex,1.276,0.467,2.7340760205,0.00625556,NCT01769378,4
como_cnt,-0.319,0.497,-0.6423901582,0.52061988830000006,NCT01769378,4
I(como_cnt^2),0.124,0.12,1.0328919936,0.301654446,NCT01769378,4
(Intercept),-26.566,47843.172,-5.552739765273097e-4,0.9995569555,NCT01358578,1
age_std,0,24081.628,5.121944994241031e-19,1,NCT01358578,1
sex,0,46108.885,2.6806471173887624e-19,1,NCT01358578,1
como_cnt,-0,62572.529,-9.418743299575546e-20,1,NCT01358578,1
(Intercept),-26.566,47843.562,-5.552694546718711e-4,0.9995569591,NCT01358578,2
age_std,0,24085.472,9.117880820651772e-19,1,NCT01358578,2
sex,0,46181.771,3.395356985268832e-19,1,NCT01358578,2
como_cnt,0,189280.687,3.1325734870366745e-20,1,NCT01358578,2
I(como_cnt^2),-0,121546.479,-6.396075022399654e-20,1,NCT01358578,2
(Intercept),-26.566,47402.62,-5.60434605997297e-4,0.9995528379,NCT01358578,5
age_std,0,24081.537,3.179571026691566e-20,1,NCT01358578,5
sex,0,46105.643,1.8512195574628616e-19,1,NCT01358578,5
(Intercept),-26.566,47860.8,-5.550694655827317e-4,0.9995571187,NCT01358578,3
age_std,0,56591.985,1.0323200307711527e-18,1,NCT01358578,3
I(age_std^2),0,26001.703,6.363282620800816e-19,1,NCT01358578,3
sex,0,46357.715,5.329064133423975e-19,1,NCT01358578,3
como_cnt,-0,62572.637,-2.0349408221079443e-19,1,NCT01358578,3
(Intercept),-26.566,47861.599,-5.550601929853593e-4,0.9995571261,NCT01358578,4
age_std,0,56713.497,1.0762423266287166e-18,1,NCT01358578,4
I(age_std^2),0,26054.956,7.006717245063955e-19,1,NCT01358578,4
sex,0,46414.328,5.746987243990588e-19,1,NCT01358578,4
como_cnt,-0,189633.09,-6.14555719701836e-20,1,NCT01358578,4
I(como_cnt^2),-0,121795.413,-5.272086544447959e-21,1,NCT01358578,4
(Intercept),-26.566,47113.748,-5.63870832033734e-4,0.9995500962,NCT01365455,1
age_std,0,24503.921,6.087310916589592e-19,1,NCT01365455,1
sex,0,46813.398,3.0071818869614005e-19,1,NCT01365455,1
como_cnt,-0,41719.448,-2.269521755273939e-19,1,NCT01365455,1
(Intercept),-26.566,47291.232,-5.617546322665268e-4,0.9995517847,NCT01365455,2
age_std,0,24522.252,5.832769090873181e-19,1,NCT01365455,2
sex,0,46835.237,3.643192700250296e-19,1,NCT01365455,2
como_cnt,-0,122926.206,-3.7510715774341905e-19,1,NCT01365455,2
I(como_cnt^2),0,75825.166,2.9764771607584147e-19,1,NCT01365455,2
(Intercept),-26.566,45777.488,-5.803304131135516e-4,0.9995369633,NCT01365455,5
age_std,0,24499.585,4.986943191158315e-19,1,NCT01365455,5
sex,0,46811.695,3.754062474828337e-19,1,NCT01365455,5
(Intercept),-26.566,47173.903,-5.631518076888478e-4,0.9995506699,NCT01365455,3
age_std,0,53528.907,1.3643430184481618e-19,1,NCT01365455,3
I(age_std^2),0,24612.454,5.881342400286343e-20,1,NCT01365455,3
sex,-0,46885.642,-7.48500419451657e-20,1,NCT01365455,3
como_cnt,-0,41873.972,-2.7586901379627265e-21,1,NCT01365455,3
(Intercept),-26.566,47344.964,-5.611170889546045e-4,0.9995522934,NCT01365455,4
age_std,0,53531.595,2.514982087485965e-19,1,NCT01365455,4
I(age_std^2),-0,24624.43,-1.6686364671035792e-21,1,NCT01365455,4
sex,0,46905.062,3.2262059336542644e-19,1,NCT01365455,4
como_cnt,0,122926.206,3.969469450569053e-21,1,NCT01365455,4
I(como_cnt^2),-0,75862.061,-3.9293116960671073e-20,1,NCT01365455,4
(Intercept),-0.822,0.145,-5.6748546178,1.3880648891746705e-8,NCT00106535,1
age_std,-0.066,0.101,-0.6511996986,0.5149175849,NCT00106535,1
sex,0.163,0.201,0.8138363066,0.4157387329,NCT00106535,1
como_cnt,0.178,0.062,2.8764687661,0.0040215199,NCT00106535,1
(Intercept),-0.809,0.163,-4.9751811591,6.518664766782747e-7,NCT00106535,2
age_std,-0.064,0.102,-0.6252243404,0.5318238289,NCT00106535,2
sex,0.163,0.201,0.8108131219,0.4174729978,NCT00106535,2
como_cnt,0.156,0.14,1.1151968985,0.2647660549,NCT00106535,2
I(como_cnt^2),0.005,0.029,0.1723375421,0.8631721715,NCT00106535,2
(Intercept),-0.52,0.097,-5.3461889719,8.982542750686089e-8,NCT00106535,5
age_std,0.033,0.094,0.353167404,0.7239629432,NCT00106535,5
sex,0.109,0.199,0.5485767475,0.5832959468,NCT00106535,5
(Intercept),-0.857,0.146,-5.8524654995,4.843387393263874e-9,NCT00106535,3
age_std,0.127,0.151,0.8463474288,0.3973589565,NCT00106535,3
I(age_std^2),0.148,0.086,1.7141208905,0.0865065259,NCT00106535,3
sex,0.169,0.201,0.8425989508,0.3994527781,NCT00106535,3
como_cnt,0.175,0.062,2.836742129,0.0045576406,NCT00106535,3
(Intercept),-0.844,0.164,-5.1383722745,2.771284572708248e-7,NCT00106535,4
age_std,0.13,0.151,0.8570802342,0.3914005441,NCT00106535,4
I(age_std^2),0.148,0.086,1.7135040521,0.0866198485,NCT00106535,4
sex,0.169,0.201,0.8395570077,0.4011568131,NCT00106535,4
como_cnt,0.154,0.14,1.1029915169,0.2700308491,NCT00106535,4
I(como_cnt^2),0.005,0.029,0.166105048,0.8680742816,NCT00106535,4
(Intercept),-1.675,0.261,-6.4262150668,1.3082028368938882e-10,NCT00144508,1
age_std,0.366,0.225,1.6229016303,0.104610435,NCT00144508,1
sex,0.29,0.4,0.7257976691,0.4679628161,NCT00144508,1
como_cnt,-0.17,0.228,-0.7445437185,0.4565476027,NCT00144508,1
(Intercept),-1.754,0.281,-6.2496832371,4.1128596355645237e-10,NCT00144508,2
age_std,0.358,0.225,1.5898979903,0.1118578007,NCT00144508,2
sex,0.316,0.402,0.7879090597,0.4307499015,NCT00144508,2
como_cnt,0.296,0.58,0.5099597317,0.6100796734,NCT00144508,2
I(como_cnt^2),-0.237,0.281,-0.8434165185,0.3989955367,NCT00144508,2
(Intercept),-1.797,0.208,-8.6341449674,5.916792566184865e-18,NCT00144508,5
age_std,0.329,0.22,1.4937975455,0.1352285433,NCT00144508,5
sex,0.29,0.399,0.7258786577,0.4679131612,NCT00144508,5
(Intercept),-1.882,0.283,-6.6426518825,3.08088916185461e-11,NCT00144508,3
age_std,0.786,0.272,2.8886563987,0.0038689158,NCT00144508,3
I(age_std^2),0.402,0.167,2.4052412461,0.0161617927,NCT00144508,3
sex,0.364,0.409,0.8886978621,0.3741654804,NCT00144508,3
como_cnt,-0.168,0.234,-0.7191682922,0.4720372334,NCT00144508,3
(Intercept),-1.973,0.305,-6.4621917323,1.0319722540977449e-10,NCT00144508,4
age_std,0.785,0.272,2.881788388,0.003954252,NCT00144508,4
I(age_std^2),0.407,0.168,2.4294792845,0.015120529,NCT00144508,4
sex,0.402,0.412,0.9764302301,0.3288513069,NCT00144508,4
como_cnt,0.331,0.585,0.5662437141,0.5712281172,NCT00144508,4
I(como_cnt^2),-0.253,0.281,-0.9002946628,0.3679634606,NCT00144508,4
(Intercept),-1.488,0.154,-9.6640807751,4.284489197355776e-22,NCT01007435,1
age_std,-0.253,0.102,-2.483004333,0.0130279503,NCT01007435,1
sex,0.242,0.215,1.1258399563000001,0.2602332682,NCT01007435,1
como_cnt,0.421,0.082,5.1548245878,2.538684600292254e-7,NCT01007435,1
(Intercept),-1.582,0.162,-9.7350327111,2.137489143325832e-22,NCT01007435,2
age_std,-0.257,0.102,-2.5146952198,0.0119135325,NCT01007435,2
sex,0.224,0.216,1.0377572542,0.2993830822,NCT01007435,2
como_cnt,0.772,0.189,4.0850131282,4.4074324575465976e-5,NCT01007435,2
I(como_cnt^2),-0.102,0.05,-2.0606663389,0.0393348831,NCT01007435,2
(Intercept),-1.064,0.123,-8.6850406644,3.786069162844107e-18,NCT01007435,5
age_std,-0.119,0.097,-1.229751071,0.2187903358,NCT01007435,5
sex,0.241,0.21,1.1482772326,0.2508541348,NCT01007435,5
(Intercept),-1.491,0.154,-9.7047806807,2.876943621851567e-22,NCT01007435,3
age_std,-0.168,0.181,-0.9278407595,0.3534901776,NCT01007435,3
I(age_std^2),0.05,0.089,0.5676473127,0.5702744739,NCT01007435,3
sex,0.245,0.215,1.1420621528,0.2534281858,NCT01007435,3
como_cnt,0.416,0.082,5.0774498931,3.825343436484503e-7,NCT01007435,3
(Intercept),-1.586,0.162,-9.7665711689,1.5666457219743794e-22,NCT01007435,4
age_std,-0.165,0.18,-0.9191375595,0.3580236258,NCT01007435,4
I(age_std^2),0.055,0.089,0.6173995229,0.5369712366,NCT01007435,4
sex,0.228,0.216,1.0554817907,0.2912050332,NCT01007435,4
como_cnt,0.769,0.189,4.0694547097,4.7123298632647226e-5,NCT01007435,4
I(como_cnt^2),-0.103,0.05,-2.0733142749,0.0381430411,NCT01007435,4
(Intercept),-1.757,0.294,-5.9768039828,2.2755772945322585e-9,NCT01119859,1
age_std,0.232,0.193,1.202089777,0.2293287467,NCT01119859,1
sex,0.445,0.351,1.2672193806,0.2050768578,NCT01119859,1
como_cnt,0.076,0.125,0.6101795291,0.5417428887,NCT01119859,1
(Intercept),-1.408,0.334,-4.2172305739,2.4732105100484437e-5,NCT01119859,2
age_std,0.264,0.194,1.3631541478,0.1728339346,NCT01119859,2
